home_team,away_team,home_team_goals,away_team_goals,match_date
barcelona,real sociedad,1,0,2018-05-20T19:45:00+00:00
atl. madrid,eibar,2,2,2018-05-20T17:30:00+00:00
ath. bilbao,espanyol,0,1,2018-05-20T15:15:00+00:00
valencia,la coruna,2,1,2018-05-20T11:00:00+00:00
villarreal,real madrid,2,2,2018-05-19T19:45:00+00:00
las palmas,girona,1,2,2018-05-19T17:30:00+00:00
malaga,getafe,0,1,2018-05-19T17:30:00+00:00
sevilla,alaves,1,0,2018-05-19T17:30:00+00:00
leganes,betis,3,2,2018-05-19T15:15:00+00:00
celta vigo,levante,4,2,2018-05-19T12:00:00+00:00
levante,barcelona,5,4,2018-05-13T19:45:00+00:00
espanyol,malaga,4,1,2018-05-13T15:15:00+00:00
real madrid,celta vigo,6,0,2018-05-12T19:45:00+00:00
alaves,ath. bilbao,3,1,2018-05-12T17:30:00+00:00
betis,sevilla,2,2,2018-05-12T17:30:00+00:00
eibar,las palmas,1,0,2018-05-12T17:30:00+00:00
getafe,atl. madrid,0,1,2018-05-12T17:30:00+00:00
girona,valencia,0,1,2018-05-12T17:30:00+00:00
la coruna,villarreal,2,4,2018-05-12T17:30:00+00:00
real sociedad,leganes,3,2,2018-05-12T15:15:00+00:00
sevilla,real madrid,3,2,2018-05-09T20:30:00+00:00
barcelona,villarreal,5,1,2018-05-09T19:00:00+00:00
leganes,levante,0,3,2018-05-07T20:00:00+00:00
barcelona,real madrid,2,2,2018-05-06T19:45:00+00:00
las palmas,getafe,0,1,2018-05-06T17:30:00+00:00
atl. madrid,espanyol,0,2,2018-05-06T15:15:00+00:00
malaga,alaves,0,3,2018-05-06T11:00:00+00:00
villarreal,valencia,1,0,2018-05-05T19:45:00+00:00
celta vigo,la coruna,1,1,2018-05-05T17:30:00+00:00
ath. bilbao,betis,2,0,2018-05-05T15:15:00+00:00
girona,eibar,1,4,2018-05-05T12:00:00+00:00
sevilla,real sociedad,1,0,2018-05-04T20:00:00+00:00
betis,malaga,2,1,2018-04-30T20:00:00+00:00
la coruna,barcelona,2,4,2018-04-29T19:45:00+00:00
valencia,eibar,0,0,2018-04-29T17:30:00+00:00
alaves,atl. madrid,0,1,2018-04-29T15:15:00+00:00
getafe,girona,1,1,2018-04-29T11:00:00+00:00
villarreal,celta vigo,4,1,2018-04-28T19:45:00+00:00
real madrid,leganes,2,1,2018-04-28T17:30:00+00:00
real sociedad,ath. bilbao,3,1,2018-04-28T15:15:00+00:00
espanyol,las palmas,1,1,2018-04-28T12:00:00+00:00
levante,sevilla,2,1,2018-04-27T20:00:00+00:00
ath. bilbao,levante,1,3,2018-04-23T20:00:00+00:00
atl. madrid,betis,0,0,2018-04-22T19:45:00+00:00
las palmas,alaves,0,4,2018-04-22T17:30:00+00:00
malaga,real sociedad,2,0,2018-04-22T15:15:00+00:00
girona,espanyol,0,2,2018-04-22T11:00:00+00:00
celta vigo,valencia,1,1,2018-04-21T15:15:00+00:00
eibar,getafe,0,1,2018-04-21T12:00:00+00:00
leganes,la coruna,0,0,2018-04-20T20:00:00+00:00
betis,las palmas,1,0,2018-04-19T20:30:00+00:00
levante,malaga,1,0,2018-04-19T20:30:00+00:00
alaves,girona,1,2,2018-04-19T18:30:00+00:00
real sociedad,atl. madrid,3,0,2018-04-19T18:30:00+00:00
real madrid,ath. bilbao,1,1,2018-04-18T20:30:00+00:00
espanyol,eibar,0,1,2018-04-18T18:30:00+00:00
valencia,getafe,1,2,2018-04-18T18:30:00+00:00
villarreal,leganes,2,1,2018-04-17T20:30:00+00:00
celta vigo,barcelona,2,2,2018-04-17T20:00:00+00:00
la coruna,sevilla,0,0,2018-04-17T18:30:00+00:00
malaga,real madrid,1,2,2018-04-15T19:45:00+00:00
getafe,espanyol,1,0,2018-04-15T17:30:00+00:00
atl. madrid,levante,3,0,2018-04-15T15:15:00+00:00
eibar,alaves,0,1,2018-04-15T11:00:00+00:00
ath. bilbao,la coruna,2,3,2018-04-14T19:45:00+00:00
las palmas,real sociedad,0,1,2018-04-14T17:30:00+00:00
leganes,celta vigo,1,0,2018-04-14T17:30:00+00:00
barcelona,valencia,2,1,2018-04-14T15:15:00+00:00
sevilla,villarreal,2,2,2018-04-14T12:00:00+00:00
girona,betis,0,1,2018-04-13T20:00:00+00:00
villarreal,ath. bilbao,1,3,2018-04-09T20:00:00+00:00
valencia,espanyol,1,0,2018-04-08T19:45:00+00:00
real sociedad,girona,5,0,2018-04-08T17:30:00+00:00
real madrid,atl. madrid,1,1,2018-04-08T15:15:00+00:00
levante,las palmas,2,1,2018-04-08T11:00:00+00:00
barcelona,leganes,3,1,2018-04-07T19:45:00+00:00
betis,eibar,2,0,2018-04-07T17:30:00+00:00
celta vigo,sevilla,4,0,2018-04-07T15:15:00+00:00
alaves,getafe,2,0,2018-04-07T12:00:00+00:00
la coruna,malaga,3,2,2018-04-06T20:00:00+00:00
getafe,betis,0,1,2018-04-02T20:00:00+00:00
atl. madrid,la coruna,1,0,2018-04-01T19:45:00+00:00
eibar,real sociedad,0,0,2018-04-01T17:30:00+00:00
malaga,villarreal,1,0,2018-04-01T17:30:00+00:00
leganes,valencia,0,1,2018-04-01T15:15:00+00:00
espanyol,alaves,0,0,2018-04-01T11:00:00+00:00
sevilla,barcelona,2,2,2018-03-31T19:45:00+00:00
las palmas,real madrid,0,3,2018-03-31T17:30:00+00:00
ath. bilbao,celta vigo,1,1,2018-03-31T15:15:00+00:00
girona,levante,1,1,2018-03-31T12:00:00+00:00
real madrid,girona,6,3,2018-03-18T19:45:00+00:00
celta vigo,malaga,0,0,2018-03-18T17:30:00+00:00
villarreal,atl. madrid,2,1,2018-03-18T17:30:00+00:00
barcelona,ath. bilbao,2,0,2018-03-18T15:15:00+00:00
leganes,sevilla,2,1,2018-03-18T11:00:00+00:00
betis,espanyol,3,0,2018-03-17T19:45:00+00:00
real sociedad,getafe,1,2,2018-03-17T17:30:00+00:00
valencia,alaves,3,1,2018-03-17T15:15:00+00:00
la coruna,las palmas,1,1,2018-03-17T12:00:00+00:00
levante,eibar,2,1,2018-03-16T20:00:00+00:00
alaves,betis,1,3,2018-03-12T20:00:00+00:00
ath. bilbao,leganes,2,0,2018-03-11T19:45:00+00:00
las palmas,villarreal,0,2,2018-03-11T17:30:00+00:00
atl. madrid,celta vigo,3,0,2018-03-11T15:15:00+00:00
espanyol,real sociedad,2,1,2018-03-11T11:00:00+00:00
malaga,barcelona,0,2,2018-03-10T19:45:00+00:00
getafe,levante,0,1,2018-03-10T17:30:00+00:00
sevilla,valencia,0,2,2018-03-10T15:15:00+00:00
eibar,real madrid,1,2,2018-03-10T12:00:00+00:00
girona,la coruna,2,0,2018-03-09T20:00:00+00:00
celta vigo,las palmas,2,1,2018-03-05T20:00:00+00:00
valencia,betis,2,0,2018-03-04T19:45:00+00:00
real sociedad,alaves,2,1,2018-03-04T17:30:00+00:00
barcelona,atl. madrid,1,0,2018-03-04T15:15:00+00:00
levante,espanyol,1,1,2018-03-04T11:00:00+00:00
real madrid,getafe,3,1,2018-03-03T19:45:00+00:00
la coruna,eibar,1,1,2018-03-03T17:30:00+00:00
leganes,malaga,2,0,2018-03-03T17:30:00+00:00
sevilla,ath. bilbao,2,0,2018-03-03T15:15:00+00:00
villarreal,girona,0,2,2018-03-03T12:00:00+00:00
alaves,levante,1,0,2018-03-01T20:30:00+00:00
las palmas,barcelona,1,1,2018-03-01T20:00:00+00:00
betis,real sociedad,0,0,2018-03-01T18:30:00+00:00
atl. madrid,leganes,4,0,2018-02-28T20:30:00+00:00
eibar,villarreal,1,0,2018-02-28T20:30:00+00:00
ath. bilbao,valencia,1,1,2018-02-28T18:30:00+00:00
getafe,la coruna,3,0,2018-02-28T18:30:00+00:00
malaga,sevilla,0,1,2018-02-28T18:30:00+00:00
girona,celta vigo,1,0,2018-02-27T20:30:00+00:00
espanyol,real madrid,1,0,2018-02-27T19:00:00+00:00
levante,betis,0,2,2018-02-26T20:00:00+00:00
sevilla,atl. madrid,2,5,2018-02-25T19:45:00+00:00
valencia,real sociedad,2,1,2018-02-25T17:30:00+00:00
ath. bilbao,malaga,2,1,2018-02-25T15:15:00+00:00
villarreal,getafe,1,0,2018-02-25T11:00:00+00:00
barcelona,girona,6,1,2018-02-24T19:45:00+00:00
leganes,las palmas,0,0,2018-02-24T17:30:00+00:00
real madrid,alaves,4,0,2018-02-24T15:15:00+00:00
celta vigo,eibar,2,0,2018-02-24T12:00:00+00:00
la coruna,espanyol,0,0,2018-02-23T20:00:00+00:00
leganes,real madrid,1,3,2018-02-21T17:45:00+00:00
getafe,celta vigo,3,0,2018-02-19T20:00:00+00:00
betis,real madrid,3,5,2018-02-18T19:45:00+00:00
espanyol,villarreal,1,1,2018-02-18T17:30:00+00:00
atl. madrid,ath. bilbao,2,0,2018-02-18T15:15:00+00:00
real sociedad,levante,3,0,2018-02-18T11:00:00+00:00
malaga,valencia,1,2,2018-02-17T19:45:00+00:00
alaves,la coruna,1,0,2018-02-17T17:30:00+00:00
eibar,barcelona,0,2,2018-02-17T15:15:00+00:00
las palmas,sevilla,1,2,2018-02-17T12:00:00+00:00
girona,leganes,3,0,2018-02-16T20:00:00+00:00
la coruna,betis,0,1,2018-02-12T20:00:00+00:00
valencia,levante,3,1,2018-02-11T19:45:00+00:00
celta vigo,espanyol,2,2,2018-02-11T17:30:00+00:00
barcelona,getafe,0,0,2018-02-11T15:15:00+00:00
sevilla,girona,1,0,2018-02-11T11:00:00+00:00
real madrid,real sociedad,5,2,2018-02-10T19:45:00+00:00
leganes,eibar,0,1,2018-02-10T17:30:00+00:00
malaga,atl. madrid,0,1,2018-02-10T15:15:00+00:00
villarreal,alaves,1,2,2018-02-10T12:00:00+00:00
ath. bilbao,las palmas,0,0,2018-02-09T20:00:00+00:00
las palmas,malaga,1,0,2018-02-05T20:00:00+00:00
atl. madrid,valencia,1,0,2018-02-04T19:45:00+00:00
girona,ath. bilbao,2,0,2018-02-04T17:30:00+00:00
espanyol,barcelona,1,1,2018-02-04T15:15:00+00:00
getafe,leganes,0,0,2018-02-04T11:00:00+00:00
levante,real madrid,2,2,2018-02-03T19:45:00+00:00
alaves,celta vigo,2,1,2018-02-03T17:30:00+00:00
betis,villarreal,2,1,2018-02-03T15:15:00+00:00
eibar,sevilla,5,1,2018-02-03T12:00:00+00:00
real sociedad,la coruna,5,0,2018-02-02T20:00:00+00:00
celta vigo,betis,3,2,2018-01-29T20:00:00+00:00
barcelona,alaves,2,1,2018-01-28T19:45:00+00:00
sevilla,getafe,1,1,2018-01-28T17:30:00+00:00
atl. madrid,las palmas,3,0,2018-01-28T15:15:00+00:00
